answers,cd,code,content
 ANSWERS:9 | 13 | 42 | 18,D02,02-05a-1a5,"  Bạn Hiền mua 1 chiếc áo phôngvàng hoặc đỏ. Áo vàng có 6 chiếc, áo đỏ có 7 chiếc. Hỏi bạn Hiền có bao nhiêu sự lựa chọn ?"
 ANSWERS: \(\frac{1}{2}\)  | -1 | 1 |  \( - \frac{1}{2}\) ,D05,02-21a-6a2,  Tính   \(\mathop {\lim }\limits_{x \to - \infty } \frac{{{x^4} - {x^2} + 2}}{{\left( {{x^3} + 1} \right)\left( {2x - 1} \right)}}\) 
 ANSWERS: \(\overrightarrow {GA} + \overrightarrow {GB} + \overrightarrow {GC} = \overrightarrow 0 \)  |  \(\overrightarrow {MS} + \overrightarrow {MG} = 0\)  |  \(\overrightarrow {MA} + \overrightarrow {MB} + \overrightarrow {MC} = \overrightarrow {MG} \)  |  \(\overrightarrow {MS} - \overrightarrow {MG} = \overrightarrow 0 \) ,H04,02-33a-8a2,"  Cho tứ diện  \(S.ABC\) có G là trọng tâm tam giác ABC, M là trung điểm SG. Khẳng định nào sau đây đúng?"
 ANSWERS: \({60^o}\)  |  \({90^o}\)  |  \({30^o}\)  |  \({45^o}\) ,H04,01-36a-2a21, (9) Cho hình lập phương  \(ABCD.A'B'C'D'\)  cạnh a. Tính góc giữa \(AB'\)  và \(A'D\) 
 ANSWERS:\(S = 3\pi {a^2}\)  | \(S = 16\pi {a^2}\)  | \(S = 2\pi {a^2}\)  | \(S = 12\pi {a^2}\) ,H06,00-01z-1a43," Cho hình chóp \(S.ABC\)  có đáy \(ABC\)  là tam giác vuông cân tại \(B\) , \(AB = BC = a\sqrt 3 \) ,  \(\widehat {SAB} = \widehat {SCB} = {90^o}\)  và khoảng cách từ \(A\)  đến mặt phẳng \((SBC)\)  bằng \(a\sqrt 2 \) . Tính diện tích mặt cầu ngoại tiếp hình chóp \(S.ABC\)  theo \(a\)  ."
 ANSWERS:181440 | 136080 | 544320 | 604800,D02,02-26a-2a6,  Hỏi lập được bao nhiêu số tự nhiên có 6 chữ số đôi một khác nhau
 ANSWERS: \(\sqrt 7 \)  |  \(\frac{7}{{\sqrt 6 }}\)  |  \(6\sqrt 7 \)  |  Không tồn tại khoảng cách,H07,00-27a-1a27,"  Trong không gian với hệ tọa độ Oxyz, cho hai mặt phẳng   \(\left( P \right)2x - y + z = 0\) và  \(\left( Q \right)2x - y + z - 7 = 0\) . Tính khoảng cách giữa (P) và (Q)"
 ANSWERS: Đồ thị hàm số đã cho có hai tiệm cận ngang là các đường thẳng  \(y = 3\) và  \(y = - 3\)  |  Đồ thị hàm số đã cho có hai tiệm cận ngang là các đường thẳng  \(x = 3\) và  \(x = - 3\)  |  Đồ thị hàm số đã cho không có tiệm cận ngang |  Đồ thị hàm số đã cho có đúng 1 tiệm cận ngang,D07,01-56a-1a4,  Cho hàm số  \(y = f\left( x \right)\)  có   \(\mathop {\lim }\limits_{x \to + \infty } f\left( x \right) = 3\) và  \(\mathop {\lim }\limits_{x \to - \infty } f\left( x \right) = - 3\) .Khẳng định nào sau đây là khẳng định đúng?
 ANSWERS:8 |  \(\frac{{27}}{4}\)  |  \(\frac{{27}}{2}\)  | 9,H06,00-17a-5a9,"  Cho hình chóp S. ABCD có đáy là tứ giác lồi với O là giao điểm của AC và BD. Gọi M,N,P,Q lần lượt là trọng tâm của các tam giác SAB, SBC, SCD, SDA. Gọi  \({V_1},{V_2}\) lần lượt là thể tích của khối chóp S.ABCD và O. MNPQ. Khi đó tỉ số  \(\frac{{{V_1}}}{{{V_2}}}\) là"
 ANSWERS: \(\frac{1}{{126}}\)  |  \(\frac{1}{{63}}\)  |  \(\frac{5}{{126}}\)  |  \(\frac{5}{{63}}\) ,D02,01-13a-2a8, Có 5 quả cầu màu trắng khác nhau và 4 quả cầu màu xanh khác nhau. Ta xếp 9 quả cầu vào 9 chỗ cho trước xếp thành hàng ngang.Tính xác suất biến cố A: “2 quả cầu đứng cạnh nhau không cùng màu”
 ANSWERS: \(\frac{{3\pi {a^2}\sqrt 7 }}{4}\)   |  \(\frac{{4\pi {a^2}\sqrt 7 }}{7}\)   |  \(\frac{{\pi {a^2}\sqrt 7 }}{2}\)   |  \(\frac{{8\pi {a^2}\sqrt 7 }}{7}\)   | Đáp án khác...,H06,H06-06a-6a,Cho hình chóp S.ABC có SA = SB = SC = 2a. Tam giác ABC có AB = BC = 2a và CA = 3a. Tính diện tích xung quanh của hình nón có đỉnh S và đáy là đường tròn ngoại tiếp tam giác ABC
 ANSWERS:8 | 10 | 12 | 6,D03,01-20a-1a10,  Hệ số tự do trong khai triển  \({\left( {2 + x} \right)^3}\)  là bao nhiêu?
 ANSWERS:0 | 3 | -2 | 6,D08,00-28a-1a20,  Cho phương trình   \({\log _2}x + {\log _3}x + {\log _5}x = 0\) .Nghiệm của phương trình sau gần nhất với giá trị nào sau đây ?
 ANSWERS: \(I = \frac{1}{3}.\)  |  \(I = 1.\)  |  \(I = \frac{1}{4}.\)  |  \(I = \frac{1}{2}.\) ,D09,10-46a-2001a23, Tính tích phân   \(I = \int\limits_0^{\frac{\pi }{2}} {{{\left( {1 - \cos x} \right)}^2}\sin x{\text{d}}x} \) .
 ANSWERS: \(\sqrt 3 \)  |  \(\sqrt 3 + 1\)  | 2 |  \(2\sqrt 3 \) ,D01,01-05a-1a27,  Biên độ của hàm số   \(f\left( x \right) = \sqrt 3 \cos x + \operatorname{s} {\text{inx}}\) 
 ANSWERS: \({V_{S.ABCD}} = \frac{{2{a^3}\sqrt 3 }}{3}\)  |  \({V_{S.ABCD}} = \frac{{2{a^3}}}{{3\sqrt 3 }}\)  |  \({V_{S.ABCD}} = \frac{{{a^3}}}{{\sqrt 6 }}\)  |  \({V_{S.ABCD}} = \frac{{{a^3}}}{{2\sqrt 6 }}\) ,H05,00-26b-2a9,  Cho hình chóp   \({\mathbf{S}}.{\mathbf{ABCD}}.{\text{ }}{\mathbf{SA}} \bot \left( {{\mathbf{ABCD}}} \right).\)  Đáy là hình vuông cạnh  \(a\sqrt 2 \) . Góc giữa mặt phẳng (SBD) và (ABCD) bằng  \({\mathbf{6}}{{\mathbf{0}}^{\mathbf{o}}}\) . Tính thể tích hình chóp S.ABCD 
 ANSWERS: \({45^ \circ }\)  |  \({30^ \circ }31'\)  |  \({70^ \circ }31'\)  |  \({65^ \circ }\) ,H04,00-18b-3a9, Cho hình lập phương ABCD.A’B’C’D’ cạnh a. Tính góc giữa 2 mặt phẳng (A’C’D) và (A’C’B)
 ANSWERS: \(y' = \frac{1}{{x - 1}}\)  |  \(y' = \frac{1}{{x\left( {x + 1} \right)}}\)  |  \(y' = \frac{1}{{x\left( {x - 1} \right)}}\)  |  \(y' = \frac{x}{{x - 1}}\) ,D08,00-14a-2a10, Cho  \(y = \ln \left( {1 - \frac{1}{x}} \right)\) . Tính  \(y'\) ?
 ANSWERS:không tồn giá trị m |  \(m = - \frac{2}{3}\)  |  \(m = - \frac{4}{3}\)  |  \(m = - \frac{1}{3}\) ,D04,01-25a-4a6,"  Tìm m để phương trình   \({x^3} - 3{x^2} + 2\left( {m - 1} \right)x - 5m = 0\)  (*) có ba nghiệm phân biệt  \({x_1},{x_2},{x_3}\)  lập thành một cấp số cộng"
 ANSWERS:4 | 2 | 1 | 3,D07,01-69a-1a11,  Đường cong \(\left( C \right):y = \frac{{5x + 2}}{{{x^2} - 4}}\) có bao nhiêu tiệm cận ?
 ANSWERS:15 | \( - 3\)  | 6 | 9,D09,D09-01d-1a, Cho  \(\int_0^1 {\frac{{3x}}{{\left( {x + 2} \right)\left( {x + 1} \right)}}dx = A\ln 3 - B\ln 2} \)  . Tính A + B?
" ANSWERS: Hàm số gián đoạn tại \(x = 0\)  và liên tục trên 
 \(\left( {-\infty ;0} \right)\)  và \(\left( {0;
+ \infty } \right)\)   |  Hàm số liên tục tại \(x = 0\)   |  Hàm số gián đoạn trên \(\left( {-\infty ;0} \right)\)  và 
 \(\left( {0;
+ \infty } \right)\)   |  Hàm số liên tục trên R",D05,00-10b-1a13," Cho hàm số \(f\left( x \right) = \left\{ \begin{gathered} x\left| {1 + \frac{1}{x}} \right|\,\,\,\,\,\,\,\,\,\,x \ne 0 \hfill \\ 1\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,x = 0 \hfill \\ \end{gathered} \right.\)  .Chọn khẳng định ĐÚNG"
 ANSWERS: \(\frac{3}{2}\)  |  \(2\)  |  \(1\)  |  \(\frac{2}{3}\) ,H03,02-21a-4a9,"  Cho hình chóp \(S.ABCD\) có  \(ABCD\)  là hình bình hành, M là trung điểm SC. Gọi N là giao điểm của đường thẳng AM và mp \(\left( {SBD} \right)\) . Tính tỉ số \(\frac{{AN}}{{MN}}\) "
 ANSWERS: \(\frac{{{a^3}}}{{3\sqrt 2 }}\)  |  \(\frac{{{a^3}}}{3}\)  |  \(\frac{{{a^3}}}{{\sqrt 2 }}\)  |  \(\frac{{{a^3}\sqrt 2 }}{3}\) ,H05,00-18a-3a20,  Cho S.ABCD có  \(SA \bot \left( {ABCD} \right)\) . Đáy là hình vuông cạnh a. Khoảng cách từ A đến mặt phẳng  \(\left( {SBD} \right)\)  bằng  \(\frac{a}{2}\) . Tính thể tích hình chóp S.ABCD
 ANSWERS:2 | 4 | 6 | 8 | Đáp án khác...,H07,H07-01a-2a," Cho \(\overrightarrow a \left( {3;0;6} \right),\overrightarrow b \left( {2; - 4;0} \right)\)  . Tính \(\overrightarrow a .\overrightarrow b \)  "
 ANSWERS: \(y' = 2\sin x\cos x + 3{\sin ^2}x\cos x\)  |  \(y' = 2\sin x\cos x - 3{\sin ^2}x\cos x\)  |  \(y' = - 2\sin x\cos x + 3{\sin ^2}x\cos x\)  |  \(y' = - 2\sin x\cos x - 3{\sin ^2}x\cos x\) ,D06,01-36a-1a5,  Cho hàm số \(y = {\sin ^2}x + {\sin ^3}x\) . Đạo hàm của hàm số là
 ANSWERS: \(\frac{{{a^3}\sqrt 3 }}{9}\)  |  \(\frac{{{a^3}\sqrt 2 }}{3}\)  |  \(\frac{{{a^3}\sqrt 2 }}{9}\)  |  \(\frac{{{a^3}\sqrt 2 }}{6}\) ,H05,00-12a-3a3, Cho hình chóp S.ABCD có đáy ABCD là hình vuông cạnh  \(a\) . Tam giác SAB vuông tại S và nằm trong mặt phẳng vuông góc với đáy. Hình chiếu vuông góc của S trên AB là điểm H thỏa mãn  \(AH = 2BH\) . Tính thể tích hình chóp S.ABCD.
 ANSWERS: \(\frac{1}{6}\ln \left| {{\text{cos}}2x} \right| + C\)   |  \( - \frac{1}{3}\ln \left| {{\text{cos}}2x} \right| + C\)   |  \( - \frac{1}{4}\ln \left| {\sin 2x} \right| + C\)   |  \(\frac{1}{2}\ln \left| {\sin 2x} \right| + C\)  ,D09,D09-01b-0a17, Tìm \(I = \int {\cot 2xdx} \)  
 ANSWERS: \(M{\text{D}} \bot AP\)  |  \(SA \bot EC\)  |  \(SE \bot AP\)  |  \(PN \bot EC\) ,H03,00-24b-3a3,"  Cho hình chóp S.ABCD có  \(\left( {SAB} \right) \bot \left( {ABCD} \right)\) .Tam giác SAB đều.Đáy là hình vuông.Gọi M,P,E,Nlần lượt là trung điểm của BC, SD,AB, CD. Chọn khẳng định ĐÚNG"
 ANSWERS:\(\frac{{226}}{{462}}\) | \(\frac{{118}}{{231}}\) | \(\frac{{115}}{{231}}\) | \(\frac{{103}}{{231}}\),D02,01-22a-5a9,  Một hộp chứa \(11\) viên bi được đánh số từ \(1\) đến \(11\). Chọn \(6\) viên bi một cách ngẫu nhiên rồi cộng các số trên \(6\) viên bi được rút ra với nhau. Xác suất để kết quả thu được là số lẻ là
 ANSWERS:\(m - n = \frac{{17}}{5}\) | \(m - n = \frac{{19}}{5}\) | \(m - n = \frac{{21}}{5}\) | \(m - n = \frac{{23}}{5}\),H02,02-25a-4a9,"  Trong mặt phẳng \(Oxy\), cho điểm \(A( - 5;2)\). Gọi \(A'(m;n)\) là ảnh của \(A\) qua phép đối xứng trục là đường thẳng \(\Delta :2x - y + 3 = 0\). Tính \(m - n\)?"
 ANSWERS: \(\frac{{{a^3}\sqrt 2 }}{3}\)  |  \(3\sqrt 3 {a^3}\)  |  \({a^3}\sqrt 6 \)  |  \(2{a^3}\) ,H06,01-59a-1a33,"  Cho lăng trụ đứng \(ABC.A'B'C'\) có đáy là tam giác cân tại A. Gọi M là trung điểm BC.  \(AM = a\sqrt 2 ,BB' = a\sqrt 3 ,MB' = 2a.\)  Tính  \({V_{ABC.A'B'C'}}\) "
 ANSWERS: \(C_{10}^1{.2^9}{.3^{ - 8}}\)  |  \(C_{10}^3{.2^4}{.3^{ - 7}}\)  |  \(C_{10}^2{.2^6}{.3^{ - 4}}\)  |  \(C_{10}^4{.2^2}{.3^{ - 6}}\) ,D03,01-24a-3a22, Tìm hệ số lớn nhất của khai triển   \(A = {\left( {\frac{1}{2} + \frac{{2x}}{3}} \right)^{10}}\) ?
" ANSWERS:(I) đúng, (II) sai | (I) sai, (II) đúng | (I), (II) đều đúng | (I), (II) đều sai",H04,01-41a-2a2," Cho lăng trụ  đều  \(ABC.A'B'C'\) . M là trung điểm AC. AI vuông góc với A’M. Tìm khẳng định đúng, sai trong các khẳng định sau:  \(\begin{gathered} \left( I \right):BM \bot AM \hfill \\\left( {II} \right):AI \bot A'B \hfill \\ \end{gathered} \) "
 ANSWERS: \(\frac{{13}}{4}\)   | 12 |  \(\frac{{ - 3}}{2}\)   | 13 | Đáp án khác...,D10,D10-01a-12d," Cho số phức \({z_1} = \left( {1 + 3i} \right)\left( {2 + i} \right)i\)  và  \({z_2} = \frac{{\left( {2 + 3i} \right)\left( {3 + 2i} \right)}}{{2 - 2i}}\)  . Gọi \({b_1},{b_2}\)  lần lượt là phần ảo của số phức \({z_{1,}}{z_2}\)  . Tính \({b_1} + 4{b_2}?\)  "
" ANSWERS: \(6,875m\)  |  \(37,5m\)  |  \(30,625m\)  |  \(68,125m\) ",D09,01-71a-2a7,"  Một tia lửa được bắn thẳng đứng từ mặt đất với vận tốc  \(v = 15 - 9,8t\) (m/s). Hỏi sau 2,5s, tia lửa cách mặt đất bao nhiêu mét?"
 ANSWERS:\(8 + \ln 15.\) | \(3 + \ln 15.\) |  \(8 + \ln 18\)  |  \(3 + \ln 18\) ,D09,10-46a-2001a6," Cho hàm số \(f\left( x \right)\) xác định trên \(\mathbb{R}\backslash \left\{ {\frac{3}{2}} \right\},\) thỏa  \(f'\left( x \right) = \frac{2}{{2x - 3}},{\text{ }}f\left( 1 \right) = 3\) và \(f\left( 2 \right) = 5\) Giá trị của biểu thức  \(f\left( { - 1} \right) + f\left( 3 \right)\) bằng"
 ANSWERS: \(2{x^2}\left( {{x^2} + 1} \right) + \left( { - 6{x^2}} \right)\left( {{x^2} + 1} \right) + \left( {5 - 3{x^2}} \right)\left( {5 - 3{x^2}} \right)\)   |  \(2{x^2}\left( {{x^2} + 1} \right) + \left( {5 - 3{x^2}} \right)\left( { - 6{x^2}} \right) + \left( {{x^2} + 1} \right)\left( {5 - 3{x^2}} \right)\)   |  \( - 2{x^2}\left( {5 - 3{x^2}} \right) - \left( {{x^2} + 1} \right)\left( { - 6{x^2}} \right) - \left( {{x^2} + 1} \right)\left( {5 - 3{x^2}} \right)\)   |  \(2{x^2}\left( {5 - 3{x^2}} \right) + \left( {{x^2} + 1} \right)\left( { - 6{x^2}} \right) + \left( {{x^2} + 1} \right)\left( {5 - 3{x^2}} \right)\)  ,D06,00-12b-2a4, Đạo hàm của hàm số \(y = \left( {{x^2} + 1} \right)\left( {5 - 3{x^2}} \right)x\)  
" ANSWERS: \(\left( { - 2;
+ \infty } \right)\)   |  \(\left( {2;1} \right)\)   |  \(\left( { - 1;
+ \infty } \right)\)   |  \(\left( { - 2;1} \right)\)  ",D07,D07-01a-1b, Hàm số \(y = - 2{x^3} - 3{x^2} + 12x - 38\)  đồng biến trên khoảng
 ANSWERS: \({S_{ACD}} = \frac{{\sqrt 3 }}{2}\)  |  \({S_{ACD}} = \frac{5}{2}\)  |  \({S_{ACD}} = \frac{1}{2}\)  |  \({S_{ACD}} = \frac{3}{2}\) ,H07,00-25a-1a10," Trong không gian Oxyz cho 3 điểm A(1;1;0), C(1;0;2) và D(1;1;1). Tính diện tích tam giác ACD."
 ANSWERS: Điểm \(M.\) |  Điểm \(Q.\) |  Điểm \(N.\) |  Điểm \(P.\),D10,10-53a-2001a29," Cho số phức \(z\) thỏa mãn \(\left| z \right| = 1\) và điểm \(A\) trong hình vẽ bên là điểm biểu diễn của \(z\). Biết rằng trong hình vẽ bên, điểm biểu diễn của số phức  \(w = - z\)  là một trong bốn điểm  \(M,{\text{ }}N,{\text{ }}P,{\text{ }}Q\). Khi đó điểm biểu diễn của số phức  \(w\)  là:"
 ANSWERS: \(\frac{{107}}{8}\)  |  \(\frac{{107}}{4}\)  |  \(\frac{8}{{107}}\)  |  \(\frac{4}{{107}}\) ,H03,01-22a-3a7,"  Cho lăng trụ tam giác \(ABC.A'B'C'\) . Trên đường thẳng BA lấy điểm M sao cho A nằm giữa B và M, \(MA = \frac{8}{{107}}MB\) . Gọi E là trung điểm AC. BC cắt mặt phẳng   \(\left( {MB'E} \right)\) tại D. Tính tỉ số \(\frac{{BD}}{{CD}}\) "
 ANSWERS:\(I = - 13.\) | \(I = - 2.\) | \(I = 7.\) | \(I = 13.\),D09,10-44a-2001a19,  Cho hàm số \(f\left( x \right)\) thỏa mãn   \(\int\limits_0^2 {x.f'\left( x \right).{e^{f\left( x \right)}}{\text{d}}x} = 6\)  và \(f\left( 2 \right) = \ln 2\). Tính  \(I = \int\limits_0^2 {{e^{f\left( x \right)}}{\text{d}}x} .\)
 ANSWERS: \(y' = \frac{{\sin x - x.\cos x}}{{{{\sin }^2}x}}\)  |  \(y' = \frac{{\sin x + x.\cos x}}{{{{\sin }^2}x}}\)  |  \(y' = \frac{{\cos x + x.\sin x}}{{{{\sin }^2}x}}\)  |  \(y' = \frac{{\cos x - x.\sin x}}{{{{\sin }^2}x}}\) ,D06,D06-02b-3a10, (10) Cho hàm số \(y = \frac{x}{{\sin x}}\) . Đạo hàm của hàm số là
" ANSWERS: \(x = - \frac{\pi }{4} + k\pi \left( {k \in \mathbb{Z}} \right)\)  |  \(\left[ \begin{gathered} x = \frac{{ - \pi }}{4} + k\pi \hfill \\x = k\pi \hfill \\
\end{gathered} \right.\left( {k \in \mathbb{Z}} \right)\)  |  \(x = \frac{\pi }{4} + k\pi \left( {k \in \mathbb{Z}} \right)\)  |  \(x = \pm \frac{\pi }{4} + k\pi \left( {k \in \mathbb{Z}} \right)\) ",D01,01-11a-1a4,  Giải phương trình  \(\cot x.{\tan ^2}x + 1 = 0\) 
 ANSWERS:01-07a-3-image1 | 01-07a-3-image2 | 01-07a-3-image3 | 01-07a-3-image4,D01,01-07a-3a3,  Đồ thị nào dưới đây là của  \(y = \cos x\)  trong đoạn   \( - \pi \leqslant x \leqslant 2\pi \) 
 ANSWERS: Tam giác |  Tứ giác |  Ngũ giác |  Lục giác,H03,12-16b-2002a12,"  Cho hình lập phương  \(ABCD.A'B'C'D'\)  cạnh a. M là trung điểm AD. Mặt phẳng  \(\left( P \right)\)  đi qua M và song song với  \(AC,BB'\) . Biết  \(BB'\)  vuông góc với AC.Dựng  \(\left( P \right)\) . Thiết diện của lập phương cắt bởi  \(\left( P \right)\)  là hình gì ? "
 ANSWERS: \(\frac{{2\pi - 3}}{{\pi - 2}}\)  |  \(\frac{{3\pi - 2}}{{\pi - 2}}\)  |  \(\frac{{2\pi + 3}}{{\pi - 2}}\)  |  \(\frac{{3\pi + 2}}{{\pi - 2}}\) ,H06,00-26a-5a8,"  Cho một khối trụ có bán kính đáy  \(r = a\)  và chiều cao  \(h = 2a\) . Mặt phẳng  \(\left( P \right)\)  song song với trục OO’ của khối trụ, chia khối trụ thành 2 phần. Gọi  \({V_1}\)  là thể tích phần khối trụ chứa trục OO’,  \({V_2}\)  là thể tích phần còn lại của khối trụ. Tính tỉ số  \(\frac{{{V_1}}}{{{V_2}}}\)  biết rằng  \(\left( P \right)\)  cách OO’ một khoảng bằng  \(\frac{a}{{\sqrt 2 }}\) ."
" ANSWERS:4,65 triệu đồng | 6,427 triệu đồng | 3,4 triệu đồng | 12,5 triệu đồng",D08,00-23a-4a1," Bạn Lan gửi hàng quý vào ngân hàng số tiền là P đồng. Sau 1 năm bạn Lan có được số tiền cả gốc lẫn lãi ít nhất là 15,2 triệu đồng. Hỏi số tiền Lan gửi hàng quý là bao nhiêu biết rằng lãi suất của ngân hàng là 4,5%/quý. (giả sử lãi suất không thay đổi)"
 ANSWERS:O |  G | Y |  M,H03,02-21b-2002a22,  Hình nào sau đây không có trục đối xứng (mỗi hình là một chữ cái in hoa)?
 ANSWERS: \(m = \frac{{17}}{3}\)  hoặc  \(m = 0\)  |  \(m = \frac{1}{3}\) hoặc  \(m = 2\)  |  \(m = \frac{{43}}{3}\)  hoặc  \(m = 1\)  |  \(m = \frac{{53}}{3}\)  hoặc  \(m = - 1\) ,D06,01-38a-4a4,  Cho hàm số  \(y = \frac{{2x + m}}{{x - 1}}\) (C). Tìm m để ĐTHS (C) có tiếp tuyến song song và cách đường thẳng d:   \(3x{\text{ }} + {\text{ }}y{\text{ }}-{\text{ }}1{\text{ }} = {\text{ }}0\) một khoảng bằng  \(\sqrt {10} \) 
" ANSWERS:\(I\left( {2;2;
- 3} \right)\)  vÃ  \(R = \sqrt {20} \)  | \(I\left( { - 4;
- 4;6} \right)\)  vÃ  \(R = \sqrt {71} \)  | \(I\left( {4;4;
- 6} \right)\)  vÃ  \(R = 71\)  | \(I\left( { - 2;
- 2;3} \right)\)  vÃ  \(R = 20\) ",H07,00-01z-1a45," Trong không gian với hệ tọa độ \(Oxyz\) , cho mặt cầu \((S):{x^2} + {y^2} + {z^2} - 4x - 4y + 6z - 3 = 0\) . Tọa độ tâm I và tính bán kính \(R\)  của \((S)\) ."
 ANSWERS: \(\frac{{12}}{{216}}.\)  |  \(\frac{1}{{216}}.\)  |  \(\frac{6}{{216}}.\)  |  \(\frac{3}{{216}}.\) ,D02,02-13a-2a11, Gieo ba con súc sắc. Xác suất để số chấm xuất hiện trên ba con súc sắc như nhau là?
 ANSWERS: \(\frac{{\sqrt 3 }}{2}\pi {a^2}\)  |  \(\frac{{2\sqrt 3 }}{3}\pi {a^2}\)  |  \(\frac{{\sqrt 3 }}{3}\pi {a^2}\)  |  \(\sqrt 3 \pi {a^2}\) ,H07,01-73a-3a2,"  Một tứ diện đều cạnh \(a\) có một đỉnh trùng với đỉnh hình nón, ba đỉnh còn lại nằm trên đường tròn đáy của hình nón. Khi đó diện tích xung quanh của hình nón bằng"
 ANSWERS: \(x = \frac{5}{2}\)  |  \(y = 2\)  |  \(y = \frac{{ - 4}}{5}\)  |  \(x = \frac{{ - 3}}{5}\) ,D07,01-46a-1a4,  Đồ thị hàm số  \(y = \frac{{4x + 3}}{{2x - 5}}\)  có tiệm cận ngang là:
 ANSWERS: \(\sqrt 2 {a^2}\)  |  \(2{a^2}\)  |  \(2\sqrt 2 {a^2}\)  |  \({a^2}\) ,H04,02-31a-4a7,  Cho hình chóp S.ABCD có đáy là hình thang vuông tại A và D và  \(AD = DC = \frac{{AB}}{2} = a\) . Tính  \(\overrightarrow {AB} .\overrightarrow {AC} \) 
 ANSWERS: \(\frac{{{{\log }_2}9}}{{{{\log }_2}3}} = 2\)  |  \(\frac{{{{\log }_2}9}}{{{{\log }_2}3}} = \frac{1}{2}\)  |  \(\frac{{{{\log }_2}9}}{{{{\log }_2}3}} = {\log _2}6\)  |  \(\frac{{{{\log }_2}9}}{{{{\log }_2}3}} = {\log _2}27\) ,D08,10-23a-2001a33,  Chọn khẳng định đúng:
 ANSWERS:\( - 2\) | \( - 1\) | \(1\) | \(0\),D07,01-68a-1a1,  Hàm số \(y = {x^3} - 3x\) đạt cực tiểu tại :
 ANSWERS: \(\frac{{3a}}{5}\)  |  \(\frac{a}{5}\)  |  \(\frac{{2a}}{3}\)  |  \(\frac{a}{2}\) ,H06,01-71a-3a3,"  Cho hình nón đỉnh S, tâm đáy O và góc ở đỉnh nón bằng  \(60^\circ \) . Cho đường sinh  \(l = 2a\) . Một thiết diện vuông góc với trục sao cho diện tích thiết diện bằng  \(\frac{1}{4}\)  diện tích đáy nón. Tính bán kính thiết diện."
 ANSWERS:31 | 13 | 11 | 33,D04,01-23a-2a1,  Cho cấp số cộng có số hạng tổng quát  \({U_n} = - 1 + 3n\) . Tính  \({U_5} + {U_6}\) 
" ANSWERS: Hàm số đồng biến trên  \(\left( {0;2} \right)\) . Hàm số nghịch biến trên 
 \(\left( {2;
+ \infty } \right)\)  |  Hàm số đồng biến trên  \(\left( { - \infty ;0} \right)\) . Hàm số nghịch biến trên  \(\left( {0;2} \right)\)  |  Hàm số đồng biến trên  \(\left( {0;2} \right)\) . Hàm số nghịch biến trên 
 \(\left( { - \infty ;0} \right)\)  |  Hàm số đồng biến trên  \(\left( {2;
+ \infty } \right)\) . Hàm số nghịch biến trên  \(\left( {0;2} \right)\) ",D07,00-20a-3a18,  Cho  \(y = \left( {x - 6} \right)\sqrt x \) . Xét tính đơn điệu của hàm số
 ANSWERS: \(\frac{a}{3}\)  |  \(\frac{a}{{\sqrt 3 }}\)  |  \(\frac{a}{{\sqrt 2 }}\)  |  \(\frac{a}{2}\) ,H04,02-25a-4a11,  Cho S.ABCD có \(SA \bot \left( {ABCD} \right)\)  SA = a. Đáy là hình vuông cạnh a.Tính khoảng cách từ A đến mặt phẳng (SBD) theo a
 ANSWERS: \(OI \bot {\text{S}}C\)  |  \(OI \bot {\text{SB}}\)  |  \(HC \bot AB\)  |  \(AH \bot BC\) ,H03,00-16b-3a8,"  Cho hình chóp S.ABC có \(SA \bot \left( {ABC} \right)\) .Tam giác ABC vuông tại B.Kẻ \(AH \bot SB\) .O,I lần lượt là trung điểm của AC và CH. Chọn khẳng định SAI"
 ANSWERS: \(2\sqrt 2 \)  |  \(2\sqrt 3 \)  |  \(3\sqrt 2 \)  | 4,H07,00-23a-5a4,"  Cho hình chóp S.ABCD có  \(A\left( {1;0;0} \right)\) ,   \(B\left( { - 1;1; - 2} \right)\) ,  \(C\left( { - 2;0; - 3} \right)\) ,  \(D\left( {0; - 1; - 1} \right)\) . Gọi H là trung điểm CD, SH vuông góc với mặt phẳng (ABCD). Biết khối chóp có thể tích bằng 4.  Tính SH "
" ANSWERS:\(\overrightarrow n \left( {\frac{{2\left( {{m^2} - 1} \right)}}{3} + \frac{{2{m^2}}}{3};
- 1} \right)\)  | \(\overrightarrow n \left( {\frac{{2\left( {{m^2} - 1} \right)}}{3} - \frac{{2{m^2}}}{3};1} \right)\)  | \(\overrightarrow n \left( { - \frac{{2\left( {{m^2} - 1} \right)}}{3} + \frac{{2{m^2}}}{3};
- 1} \right)\)  | \(\overrightarrow n \left( {\frac{{2\left( {{m^2} - 1} \right)}}{3} - \frac{{2{m^2}}}{3};
- 1} \right)\) ",D07,D07-05c-0a13, Cho hàm số \(y = \frac{1}{3}{x^3} - m{x^2} + \left( {{m^2} - 1} \right)x + 1\) . Tìm vectơ chỉ phương của phương trình đường thẳng đi qua 2 điểm cực trị
 ANSWERS:AK | AP |  HK |  HP,H01,02-02a-2a15, Đoạn thẳng nào sau đây được vẽ nét liền 
