cd,text_encoded,answers_encoded
H04,"cho ba vecto overrightarrow a , overrightarrow b , overrightarrow c khong dong phang. xet cac vecto overrightarrow x = 0 overrightarrow a + 0 overrightarrow b ; overrightarrow y = 0 overrightarrow a + 0 overrightarrow b ; overrightarrow z = + 0 overrightarrow a + 0 overrightarrow b . chon khang dinh dung? answers: ba vecto overrightarrow x ; overrightarrow y ; overrightarrow z khong dong phang | haivecto overrightarrow x ; overrightarrow b cung phuong. | hai vecto overrightarrow x ; overrightarrow a cung phuong. | ba vecto overrightarrow x ; overrightarrow y ; overrightarrow z dong phang.",answers: ba vecto overrightarrow x ; overrightarrow y ; overrightarrow z khong dong phang | haivecto overrightarrow x ; overrightarrow b cung phuong. | hai vecto overrightarrow x ; overrightarrow a cung phuong. | ba vecto overrightarrow x ; overrightarrow y ; overrightarrow z dong phang.
D07,cho ham so y = frac mx + 0 0x + m . voi tat ca gia tri nao cua m thi ham so tren luon dong bien tren tung khoang xac dinh cua no? answers: m = + 0 | + 0 < m < 0 | m = 0 | m < + 0 hoac m > 0,answers: m = + 0 | + 0 < m < 0 | m = 0 | m < + 0 hoac m > 0
D01,"trong cac ham so sau, co bao nhieu ham so la ham chan tren tap xac dinh cua no? left i right y = cot 0x left ii right y = cos x + pi left iii right y = 0 + sin x , left iv right y = tan ^ 0 x , , . answers:0 | 0 | 0 | 0",answers:0 | 0 | 0 | 0
H03,"cho hinh chop s.abcd co day abcd la hinh binh hanh. m,n,p lan luot la trung diem cua ad, ab va sc. goi q la giao diem cua sb va mat phang left mnp right . tinh ti so k = frac qb qs answers: k = frac 0 0 | k = frac 0 0 | k = frac 0 0 | k = frac 0 0",answers: k = frac 0 0 | k = frac 0 0 | k = frac 0 0 | k = frac 0 0
D02,rut ra mot la bai tu bo bai 0 la. xac suat de duoc 0 la at a hay 0 la ro la: answers: frac 0 0 | frac 0 0 | frac 0 0 | frac 0 0,answers: frac 0 0 | frac 0 0 | frac 0 0 | frac 0 0
D04,"tim m de phuong trinh x^0 + left m + 0 right x^0 + x + m + 0 = 0 * co ba nghiem phan biet x_0 , x_0 , x_0 lap thanh mot cap so cong. answers: m = 0 | m = 0 | m = + 0 | m = + 0",answers: m = 0 | m = 0 | m = + 0 | m = + 0
D08,"tap xac dinh d cua ham so y = left 0^x + 0 right ^ + 0 la: answers: d = mathbb r | d = left 0;
+ infty right | d = mathbb r backslash left 0 right | d = left 0;
+ infty right","answers: d = mathbb r | d = left 0;
+ infty right | d = mathbb r backslash left 0 right | d = left 0;
+ infty right"
D05,biet mathop lim limits_ x to 0 frac tan ax + sin ax x^0 sin bx = frac 0 0 va a + b = 0 . tinh b = a^0 + b^0 answers:+0 | 0 | 0 | +0,answers:+0 | 0 | 0 | +0
D01,giai phuong trinh : sqrt 0 left sin x + cos x right sin x. cos x = 0 answers: x = + frac pi 0 + k pi left k in mathbb z right | x = frac pi 0 + k0 pi left k in mathbb z right | x = frac 0 pi 0 + k0 pi left k in mathbb z right | x = + frac 0 pi 0 + k0 pi left k in mathbb z right,answers: x = + frac pi 0 + k pi left k in mathbb z right | x = frac pi 0 + k0 pi left k in mathbb z right | x = frac 0 pi 0 + k0 pi left k in mathbb z right | x = + frac 0 pi 0 + k0 pi left k in mathbb z right
D07,goi m va m lan luot la max va min cua ham so y = x + 0 + frac 0 x + 0 tren doan left + 0; ;0 right . tinh gia tri m + n answers:0 | 0 | 0 | 0,answers:0 | 0 | 0 | 0
H06,"cho hinh chop s.abc co sa bot left abc right , day abc la tam giac vuong tai a. goi m la trung diem sa. biet sa = a,ac = a va khoang cach tu m den sbc bang frac a 0 sqrt 0 . tinh v_ s.abc ? answers: frac a^0 sqrt 0 0 | frac a^0 sqrt 0 0 | frac a^0 sqrt 0 0 | frac a^0 sqrt 0 0",answers: frac a^0 sqrt 0 0 | frac a^0 sqrt 0 0 | frac a^0 sqrt 0 0 | frac a^0 sqrt 0 0
D07,"cho ham so y = x^0 + x^0 + 0 left c right . tim nhung diem doi xung voi nhau thuoc do thi ham so c qua duong thang left d right :y = frac + 0 0 x + frac 0 0 answers: a left 0;0 right ,b left + 0;0 right | a left + 0;0 right ,b left + 0;0 right | a left 0;0 right ,b left + 0;0 right | a left 0;0 right ,b left 0;0 right | dap an khac...","answers: a left 0;0 right ,b left + 0;0 right | a left + 0;0 right ,b left + 0;0 right | a left 0;0 right ,b left + 0;0 right | a left 0;0 right ,b left 0;0 right | dap an khac..."
H04,"cho ba vecto overrightarrow a , overrightarrow b overrightarrow ,c khong dong phang. xet cac vecto overrightarrow x = 0 overrightarrow a + 0 overrightarrow b + 0 overrightarrow c ; overrightarrow y = 0 overrightarrow a + 0 overrightarrow b + overrightarrow c ; overrightarrow z = + 0 overrightarrow a + 0 overrightarrow b + 0 overrightarrow c dong phang voi overrightarrow x = m overrightarrow y + n overrightarrow z left m + n ne 0 right . tinh m + n ? answers: m + n = 0 | m + n = 0 | m + n = 0 | m + n = 0",answers: m + n = 0 | m + n = 0 | m + n = 0 | m + n = 0
H05,"cho hinh chop s.abcd co day abcd la hinh binh hanh. m la trung diem sc, mat phang p chua am va song song voi bd chia hinh chop thanh 0 phan. tinh ti so 0 phan. answers: , frac 0 0 | frac 0 0 , | frac 0 0 | ,0","answers: , frac 0 0 | frac 0 0 , | frac 0 0 | ,0"
D07,tim m de ham so y = x^0 + 0 x^0 + mx + m luon dong bien tren txd answers: m geqslant + 0 | m geqslant 0 | m geqslant 0 | m geqslant 0,answers: m geqslant + 0 | m geqslant 0 | m geqslant 0 | m geqslant 0
H04,"cho hinh chop s.abcd co day la hinh thoi abcd tam o va sa = sc,sb = sd . tim khang dinh dung, sai trong cac khang dinh sau : i : so bot left abcd right ii : so bot left sbc right answers: i , ii deu dung | i dung ii sai | i sai ii dung | i , ii deu sai","answers: i , ii deu dung | i dung ii sai | i sai ii dung | i , ii deu sai"
D03,tim he so cua so hang chua x^0 trong khai trien sau p = 0 x^0 left 0 + 0x right ^ 0 ? answers:0 | +0 | +0 | 0,answers:0 | +0 | +0 | 0
D01,"giai phuong trinh frac left 0 sin 0x + sqrt 0 right operatorname s text inx 0 cos x + sqrt 0 = 0 answers: left begin gathered x = frac 0 pi 0 + k pi hfill x = k pi hfill 
 end gathered right. left k in mathbb z right | left begin gathered x = frac 0 pi 0 + k pi hfill 
 x = frac 0 pi 0 + k pi hfill x = k pi hfill 
 end gathered right. left k in mathbb z right | left begin gathered x = frac pi 0 + k pi hfill x = k pi hfill 
 end gathered right. left k in mathbb z right | left begin gathered x = frac 0 pi 0 + k0 pi hfill 
 x = frac 0 pi 0 + k pi hfill x = k pi hfill 
 end gathered right. left k in mathbb z right","answers: left begin gathered x = frac 0 pi 0 + k pi hfill x = k pi hfill 
 end gathered right. left k in mathbb z right | left begin gathered x = frac 0 pi 0 + k pi hfill 
 x = frac 0 pi 0 + k pi hfill x = k pi hfill 
 end gathered right. left k in mathbb z right | left begin gathered x = frac pi 0 + k pi hfill x = k pi hfill 
 end gathered right. left k in mathbb z right | left begin gathered x = frac 0 pi 0 + k0 pi hfill 
 x = frac 0 pi 0 + k pi hfill x = k pi hfill 
 end gathered right. left k in mathbb z right"
D02,"mot hop qua dung 0 day buoc toc cung chat lieu, cung kieu dang nhung khac nhau ve mau sac. cu the trong hop co 0 day xanh, 0 day do, va 0 day vang. ban an duoc chon ngau nhien 0 day tu hop qua de lam phan thuong cho minh. tinh xac suat de trong 0 day ban an chon co it nhat 0 day vang va khong qua 0 day do. answers: frac 0 0 | frac 0 0 | frac 0 0 | frac 0 0",answers: frac 0 0 | frac 0 0 | frac 0 0 | frac 0 0
D02,hoi lap duoc bao nhieu so tu nhien co 0 chu so doi mot khac nhau answers:0 | 0 | 0 | 0,answers:0 | 0 | 0 | 0
D07,duong cong o hinh ben la do thi cua mot trong bon ham so o duoi day. ham so do la ham so nao ? answers: y = x^0 + 0 x^0 + 0 | y = + x^0 + 0 x^0 + 0 | y = + x^0 + 0 x^0 + 0 | y = x^0 + 0 x^0 + 0,answers: y = x^0 + 0 x^0 + 0 | y = + x^0 + 0 x^0 + 0 | y = + x^0 + 0 x^0 + 0 | y = x^0 + 0 x^0 + 0
H01,cho cac khang dinh : 0 an la duong net dut 0 dn la duong net lien 0 mn la duong net lien so khang dinh sai la: answers: 0 | 0 | 0 | 0,answers: 0 | 0 | 0 | 0
H06,"cho hinh chop sabcd co day la hinh chu nhat voi ab=a; ad = a sqrt 0 . canh ben sd vuong goc voi mat phang day, goc giua sb va mat phang day bang 0^0 . tinh the tich khoi chop. answers: 0 sqrt 0 a^0 | frac 0 sqrt 0 a^0 0 | 0 sqrt 0 a^0 | frac sqrt 0 a^0 0 | dap an khac...",answers: 0 sqrt 0 a^0 | frac 0 sqrt 0 a^0 0 | 0 sqrt 0 a^0 | frac sqrt 0 a^0 0 | dap an khac...
D09,dau la ho nguyen ham cua f left x right = frac 0 cos ^0 left ln x + 0 right . frac 0 x answers: int f left x right dx = tan left ln x + 0 right | int f left x right dx = tan left ln x + 0 right + c | int f left x right dx = cot left ln x + 0 right + c | int f left x right dx = cot left ln x + 0 right,answers: int f left x right dx = tan left ln x + 0 right | int f left x right dx = tan left ln x + 0 right + c | int f left x right dx = cot left ln x + 0 right + c | int f left x right dx = cot left ln x + 0 right
D10,cho i^0 = + 0 . tinh i^ 0 answers: + 0 | i | i^0 | 0 | dap an khac...,answers: + 0 | i | i^0 | 0 | dap an khac...
H07,cho diem a left + 0;0;0 right va mat phang p : 0x + y + 0z + 0 = 0 . khoang cach tu diem a den mat phang p bang: answers: frac 0 0 | khong ton tai khoang cach | 0 | frac 0 0,answers: frac 0 0 | khong ton tai khoang cach | 0 | frac 0 0
D10,tim so phuc lien hop cua z = frac left 0 + i right left 0 + 0i right 0 + i answers: 0 + 0i | 0 + 0i | + 0 + 0i | + 0 + 0i | dap an khac...,answers: 0 + 0i | 0 + 0i | + 0 + 0i | + 0 + 0i | dap an khac...
D05,cho ham so f left x right = x^0 + x + 0 . xet phuong trinh f left x right = 0 0 .trong cac menh de sau. tim menh de sai answers: 0 co nghiem tren khoang +0;0 | 0 co nghiem tren khoang 0;0 | 0 co nghiem tren r | vo nghiem,answers: 0 co nghiem tren khoang +0;0 | 0 co nghiem tren khoang 0;0 | 0 co nghiem tren r | vo nghiem
D05,ket qua cua gioi han lim frac 0^n + 0 left frac 0 0 right ^n + left frac 0 0 right ^n la : answers:0 | + infty | + infty | 0,answers:0 | + infty | + infty | 0
D09,"tinh dien tich s_d cua hinh phang d duoc gioi han boi cac duong y = left| frac ln x x right| , truc hoanh ox va cac duong x = frac 0 text e ; x = 0 ? answers: s_d = frac 0 0 left 0 + ln 0 right | s_d = frac 0 0 left 0 + ln ^0 0 right | s_d = frac 0 0 ln ^0 0 + frac 0 0 | s_d = frac 0 0 left 0 + ln ^0 0 right",answers: s_d = frac 0 0 left 0 + ln 0 right | s_d = frac 0 0 left 0 + ln ^0 0 right | s_d = frac 0 0 ln ^0 0 + frac 0 0 | s_d = frac 0 0 left 0 + ln ^0 0 right
H01,cho hinh chop s.abcd .goi g la trong tam cua tam giac sab.thiet dien cua mp left gcd right va hinh chop la hinh gi? answers: tam giac | tu giac | ngu giac | luc giac,answers: tam giac | tu giac | ngu giac | luc giac
D07,"cac khoang nghich bien cua ham so y = frac 0x + 0 x + 0 la answers: left + infty ;0 right | left 0;
+ infty right | left + infty ;
+ infty right | left + infty ;0 right va left 0;
+ infty right","answers: left + infty ;0 right | left 0;
+ infty right | left + infty ;
+ infty right | left + infty ;0 right va left 0;
+ infty right"
D01,"giai phuong trinh: cot left 0x + frac pi 0 right = + cot left x + frac pi 0 right answers: x = frac + pi 0 + frac k pi , 0 k in z | x = frac pi 0 + k pi , , k in z | x = frac + 0 pi 0 + frac k0 pi 0 , , k in z | x = frac + 0 pi 0 + frac k pi 0 , , k in z","answers: x = frac + pi 0 + frac k pi , 0 k in z | x = frac pi 0 + k pi , , k in z | x = frac + 0 pi 0 + frac k0 pi 0 , , k in z | x = frac + 0 pi 0 + frac k pi 0 , , k in z"
D09,dien tich hinh phang to dam trong hinh ve duoi day la answers: s = int_a^b left f_0 left x right + f_0 left x right right dx | s = int_b^a left f_0 left x right + f_0 left x right right dx | s = int_a^b left| f_0 left x right right| dx | s = int_a^b left| f_0 left x right right| dx,answers: s = int_a^b left f_0 left x right + f_0 left x right right dx | s = int_b^a left f_0 left x right + f_0 left x right right dx | s = int_a^b left| f_0 left x right right| dx | s = int_a^b left| f_0 left x right right| dx
D07,"ham so f xac dinh tren mot khoang k . ham so f dong bien tren k neu forall x_0 , , x_0 in k, , x_0 < x_0 thi: answers: f left x_0 right > f left x_0 right | f left x_0 right < f left x_0 right | f left x_0 right leqslant f left x_0 right | f left x_0 right geqslant f left x_0 right",answers: f left x_0 right > f left x_0 right | f left x_0 right < f left x_0 right | f left x_0 right leqslant f left x_0 right | f left x_0 right geqslant f left x_0 right
D01,"xet tinh chan le cua ham so y = f left x right = cos left 0x + frac pi 0 right + sin left 0x + frac pi 0 right , ta duoc y = f left x right la: answers: ham so chan | ham so le | khong chan khong le | vua chan vua le",answers: ham so chan | ham so le | khong chan khong le | vua chan vua le
H07,"cho a left 0;0;0 right ,b left 0;0;0 right . xac dinh toa do trung diem m cua ab answers: m left 0;0;0 right | m left 0;0;0 right | m left 0;0;0 right | m left 0;0;0 right | dap an khac...",answers: m left 0;0;0 right | m left 0;0;0 right | m left 0;0;0 right | m left 0;0;0 right | dap an khac...
H06,"cho lang tru dung abc.a'b'c' co day abc la tam giac vuong tai a. ab = 0a,ac = a,aa' = 0a . tinh v_ abc.a'b'c' answers: 0 a^0 . | 0 a^0 | 0 a^0 | a^0",answers: 0 a^0 . | 0 a^0 | 0 a^0 | a^0
H02,"trong mat phang oxy , cho diem a + 0;0 . goi a' m;n la anh cua a qua phep doi xung truc la duong thang delta :0x + y + 0 = 0 . tinh m + n ? answers: m + n = frac 0 0 | m + n = frac 0 0 | m + n = frac 0 0 | m + n = frac 0 0",answers: m + n = frac 0 0 | m + n = frac 0 0 | m + n = frac 0 0 | m + n = frac 0 0
H03,chon dap an dung : answers: hai duong thang a va b khong cung nam trong mat phang p nen chung cheo nhau. | hai duong thang khong song song thi cheo nhau. | hai duong thang phan biet lan luot nam tren hai mat phang khac nhau thi cheo nhau. | hai duong thang khong song song va lan luot nam tren hai mat phang song song thi cheo nhau.,answers: hai duong thang a va b khong cung nam trong mat phang p nen chung cheo nhau. | hai duong thang khong song song thi cheo nhau. | hai duong thang phan biet lan luot nam tren hai mat phang khac nhau thi cheo nhau. | hai duong thang khong song song va lan luot nam tren hai mat phang song song thi cheo nhau.
D10,tim tham so thuc m de phuong trinh z^0 + left 0 + m right z + 0 = 0 nhan so phuc z = 0 + 0i lam mot nghiem. answers: m = 0. | m = 0. | m = + 0. | m = 0.,answers: m = 0. | m = 0. | m = + 0. | m = 0.
H01,"cho tu dien abcd . m,n lan luot la trung diem cua cd , ab .g la trong tam tu dien. khi do mp left bcg right cat ad tai: answers: diem d | diem a | trung diem i cua ad | mot diem k nao do nam tren ad",answers: diem d | diem a | trung diem i cua ad | mot diem k nao do nam tren ad
D07,"cho ham so y = 0 x^0 + 0x + 0 sqrt 0x + 0 trong cac khang dinh sau khang dinh nao dung? answers: phuong trinh y' = 0 co 0 nghiem phan biet | ham so nghich bien tren left frac 0 0 ; frac 0 + sqrt 0 0 right | ham so dong bien tren left frac 0 0 ;
+ infty right | ham so nghich bien tren 
 left frac 0 + sqrt 0 0 ; frac 0 + sqrt 0 0 right","answers: phuong trinh y' = 0 co 0 nghiem phan biet | ham so nghich bien tren left frac 0 0 ; frac 0 + sqrt 0 0 right | ham so dong bien tren left frac 0 0 ;
+ infty right | ham so nghich bien tren 
 left frac 0 + sqrt 0 0 ; frac 0 + sqrt 0 0 right"
H05,"cho hinh lap phuong abcd.a'b'c'd', goi m la trung diem bc, m' la trung diem b'c'. tim ty so k = frac v_ mcdm'c'd' v_ abmda'b'm'd' answers: frac 0 0 | frac 0 0 | frac 0 0 | frac 0 0",answers: frac 0 0 | frac 0 0 | frac 0 0 | frac 0 0
D07,cho ham so co bang bien thien nhu sau :|<|0+0a+0+image0|>| tim m de duong thang y = m cat dths tai 0 diem ? answers: left begin gathered 0 leqslant m < 0 hfill + 0 < m < 0 hfill end gathered right. | left begin gathered 0 leqslant m < 0 hfill + 0 < m leqslant 0 hfill end gathered right. | left begin gathered 0 < m < 0 hfill + 0 < m < 0 hfill end gathered right. | left begin gathered 0 leqslant m < 0 hfill + 0 < m < 0 hfill end gathered right.,answers: left begin gathered 0 leqslant m < 0 hfill + 0 < m < 0 hfill end gathered right. | left begin gathered 0 leqslant m < 0 hfill + 0 < m leqslant 0 hfill end gathered right. | left begin gathered 0 < m < 0 hfill + 0 < m < 0 hfill end gathered right. | left begin gathered 0 leqslant m < 0 hfill + 0 < m < 0 hfill end gathered right.
D01,tim m de phuong trinh left m + 0 right cos 0x + m + 0 = 0 co nghiem x in left frac + pi 0 ; frac pi 0 right ? answers: 0 < m leqslant frac 0 0 | m > 0 | m < 0 | m geqslant frac 0 0,answers: 0 < m leqslant frac 0 0 | m > 0 | m < 0 | m geqslant frac 0 0
D10,cho so phuc z = left 0 + 0i right + left 0 + 0i right . tinh left| z right| answers: 0 sqrt 0 | 0 sqrt 0 | 0 | sqrt 0,answers: 0 sqrt 0 | 0 sqrt 0 | 0 | sqrt 0
D01,"voi gia tri nao cua m thi phuong trinh m thi phuong trinh m sin x + 0 cos x = 0 vo nghiem? answers: m geqslant 0. | + 0 < m < 0. | m geqslant sqrt 0 . | left begin gathered m leqslant + 0 hfill m geqslant 0 hfill 
 end gathered right..","answers: m geqslant 0. | + 0 < m < 0. | m geqslant sqrt 0 . | left begin gathered m leqslant + 0 hfill m geqslant 0 hfill 
 end gathered right.."
H06,the tich khoi da dien deu co cac dinh la trung diem cac canh cua mot tu dien deu co the tich la 0 answers:0 | 0 | 0 | 0,answers:0 | 0 | 0 | 0
D09,cho int frac x left 0 + 0x right ^0 dx = frac m 0x + 0 + frac n left 0x + 0 right ^0 + frac p left 0x + 0 right ^0 + c . tinh s = 0m + 0n + 0p answers: s = + 0 | s = 0 | s = 0 | s = 0,answers: s = + 0 | s = 0 | s = 0 | s = 0
D05,"f left x right = left begin gathered frac x^0 + 0 x^0 + x + 0 x^0 + x + 0 , , , , , , , , , ,x ne 0 hfill a + x , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x = 0 hfill end gathered right. , , , , , , tim a de ham so lien tuc tai x_0 = 0 answers: a = 0 | forall a | khong ton tai a | a = 0",answers: a = 0 | forall a | khong ton tai a | a = 0
H05,"cho hinh chop s.abc co sa, sb, sc tao voi day goc bang nhau. tam giac abcvuong can tai b co ab = a . sa = 0a. v_ sabc = ? answers: frac a^0 sqrt 0 0 | frac a^0 sqrt 0 0 | frac a^0 sqrt 0 0 | frac a^0 sqrt 0 0",answers: frac a^0 sqrt 0 0 | frac a^0 sqrt 0 0 | frac a^0 sqrt 0 0 | frac a^0 sqrt 0 0
D07,"cho ham so y = 0 x^0 + x^0 + mx + 0 left c right . goi a,b la 0 diem cuc tri cua do thi ham so.tim m de a,b cung thuoc duong thang 0x + 0y + 0 = 0 answers: m = 0 | m = + 0 | khong ton tai m | m = 0",answers: m = 0 | m = + 0 | khong ton tai m | m = 0
H05,"cho hinh chop s.abcd co day abcd la hinh vuong tam o , sa bot left abcd right . goi i la trung diem cua sc . khoang cach tu i den mat phang left abcd right bang do dai doan thang nao? answers:io | ia | ic | ib",answers:io | ia | ic | ib
D08,"tap nghiem s cua bat phuong trinh log _0^0x + 0 log _0 x + 0 leqslant 0 la answers: s = left frac 0 0 ; text 0 right | s = left 0; text frac 0 0 right | left 0; text + infty right | s = left 0; text frac 0 0 right cup left 0;
+ infty right","answers: s = left frac 0 0 ; text 0 right | s = left 0; text frac 0 0 right | left 0; text + infty right | s = left 0; text frac 0 0 right cup left 0;
+ infty right"
D05,"cho ham so f x = left begin gathered frac 0 sqrt x + 0 + x + 0 x + 0 + sqrt x + 0 , , , , , , , , ,x > + 0 hfill ax , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x leqslant + 0 hfill end gathered right. tim a de ham so lien tuc tai x_o = + 0 answers:0 | 0 | + 0 | + 0 | dap an khac...",answers:0 | 0 | + 0 | + 0 | dap an khac...
D04,"tim 0 so x,y biet 0 so 0,x,y lap thanh 0 cap so cong la day tang va 0, left x + 0 right ,0y tuong ung lap thanh 0 cap so nhan answers: left begin gathered left x;y right = left 0;0 right hfill 
 left x;y right = left 0;0 right hfill 
 end gathered right. | left x;y right = left 0;0 right | left x;y right = left 0;0 right | left x;y right = left 0;0 right","answers: left begin gathered left x;y right = left 0;0 right hfill 
 left x;y right = left 0;0 right hfill 
 end gathered right. | left x;y right = left 0;0 right | left x;y right = left 0;0 right | left x;y right = left 0;0 right"
D06,tinh dao ham cap 0 cua ham so y = frac 0 x^0 + x + 0 x + 0 answers:0 | 0 | frac 0x left x + 0 right ^0 | frac 0x + 0 left x + 0 right ^0,answers:0 | 0 | frac 0x left x + 0 right ^0 | frac 0x + 0 left x + 0 right ^0
D01,"de phuong trinh 0 sin left x + frac pi 0 right . cos left x + frac pi 0 right = a^0 + sqrt 0 sin 0x + cos 0x co nghiem, tham so a phai thoa man dieu kien? answers: + 0 leqslant a leqslant 0 | + 0 leqslant a leqslant 0 | frac + 0 0 leqslant a leqslant frac 0 0 | + 0 leqslant a leqslant 0",answers: + 0 leqslant a leqslant 0 | + 0 leqslant a leqslant 0 | frac + 0 0 leqslant a leqslant frac 0 0 | + 0 leqslant a leqslant 0
H04,"cho hinh chop s.abcd.day la hinh vuong canh a. delta sab deu. sab bot abcd . xac dinh goc giua sac va abcd answers: 0, 0^o | 0, 0^o | 0, 0^o | 0, 0^o","answers: 0, 0^o | 0, 0^o | 0, 0^o | 0, 0^o"
H06,"cho hinh chop s.abc co chieu cao bang 0 , dien tich day bang 0 . goi m la trung diem cua canh sb va n thuoc canh sc sao cho ns = 0nc. tinh the tich v cua khoi chop s.amn . answers: v = 0. | v = 0. | v = 0. | v = 0.",answers: v = 0. | v = 0. | v = 0. | v = 0.
D03,tim n in z thoa man frac n! n + 0 ! + frac n! n + 0 ! = 0 answers:n=0 | n=0 | n=0 | n=0,answers:n=0 | n=0 | n=0 | n=0
D06,cho ham so y = sin x + 0 cos x . dao ham cua ham so la answers: y' = cos x + 0 sin x | y' = cos x + 0 sin x | y' = + cos x + 0 sin x | y' = + cos x + 0 sin x,answers: y' = cos x + 0 sin x | y' = cos x + 0 sin x | y' = + cos x + 0 sin x | y' = + cos x + 0 sin x
D08,tim tat ca cac gia tri thuc cua tham so m de phuong trinh 0^ x^0 + 0^ x^0 + 0 + 0 = m co ba nghiem thuc phan biet? answers: m = 0. | 0 < m < 0. | m = 0. | khong ton tai m.,answers: m = 0. | 0 < m < 0. | m = 0. | khong ton tai m.
D10,"cho so phuc z thoa left 0 + i right z = 0 + 0i . diem bieu dien cua so phuc z trong mat phang toa do oxy co toa do la: answers: left 0;0 right | left 0;0 right | left + 0;0 right | left 0;
+ 0 right","answers: left 0;0 right | left 0;0 right | left + 0;0 right | left 0;
+ 0 right"
H02,"trong mat phang oxy , cho duong tron left c right : x^0 + y^0 + 0x + 0y + 0 = 0 . viet phuong trinh duong tron left c' right la anh cua duong tron left c right qua phep doi xung truc text oy . answers: left c' right : x^0 + y^0 + 0x + 0y + 0 = 0 | left c' right : left x + 0 right ^0 + left y + 0 right ^0 = 0 | left c' right : x^0 + y^0 + 0x + 0y + 0 = 0 | left c' right : left x + 0 right ^0 + left y + 0 right ^0 = 0",answers: left c' right : x^0 + y^0 + 0x + 0y + 0 = 0 | left c' right : left x + 0 right ^0 + left y + 0 right ^0 = 0 | left c' right : x^0 + y^0 + 0x + 0y + 0 = 0 | left c' right : left x + 0 right ^0 + left y + 0 right ^0 = 0
D07,cho chuyen dong thang xac dinh boi phuong trinh: text s = t^0 + 0 t^0 + 0t + 0 trong do t duoc tinh bang giay va s duoc tinh bang met. van toc cua chuyen dong tai thoi diem t = 0 text s la: answers:0 m/s | 0 m/s | 0 m/s | 0 m/s,answers:0 m/s | 0 m/s | 0 m/s | 0 m/s
D07,cho y = x^0 + 0m x^0 + 0 . tim m de tat ca diem cuc tri cua do thi ham so nam tren truc toa do : answers: m = + 0 | m = + 0 | m = + 0 | m = + 0,answers: m = + 0 | m = + 0 | m = + 0 | m = + 0
D05,"cho lim frac left an + 0 right ^0 . left n + 0 right ^0 b n^0 + 0 = frac 0 0 . tim a,b biet 0b + 0 a^0 = 0 . answers:a = 0, b = frac 0 0 | a = 0, b = 0 | a = 0, b = 0 | a = 0, b = 0 | dap an khac...","answers:a = 0, b = frac 0 0 | a = 0, b = 0 | a = 0, b = 0 | a = 0, b = 0 | dap an khac..."
D01,tim nghiem cua phuong trinh sin ^0 x + cos ^0 x = operatorname s text inx + cos x trong khoang left + pi ; pi right ? answers: left frac pi 0 ; frac 0 pi 0 ; frac + pi 0 right | left frac + pi 0 ; frac pi 0 ; frac pi 0 right | left frac pi 0 ; frac + pi 0 right | left frac + pi 0 ; frac pi 0 ; frac pi 0 right,answers: left frac pi 0 ; frac 0 pi 0 ; frac + pi 0 right | left frac + pi 0 ; frac pi 0 ; frac pi 0 right | left frac pi 0 ; frac + pi 0 right | left frac + pi 0 ; frac pi 0 ; frac pi 0 right
D05,cho day so u_n xac dinh boi day left begin gathered u_0 = 0 hfill u_n = u_ n + 0 + n hfill end gathered right. . tinh lim frac u_n frac 0 0 n^0 + 0 answers: frac 0 0 | frac 0 0 | frac 0 0 | frac 0 0,answers: frac 0 0 | frac 0 0 | frac 0 0 | frac 0 0
D02,"tu 0 nguoi can chon ra mot doan dai bieu gom 0 truong doan, 0 pho doan, 0 thu ki va 0 uy vien. hoi co bao nhieu cach chon doan dai bieu ? answers: 0. | 0. | 0. | 0.",answers: 0. | 0. | 0. | 0.
H02,"cho delta abc co canh 0,0,0 . phep dong dang ti so k = 0 bien delta abc thanh delta a'b'c' co dien tich la answers: frac 0 sqrt 0 0 | 0 sqrt 0 | frac 0 sqrt 0 0 | frac 0 sqrt 0 0",answers: frac 0 sqrt 0 0 | 0 sqrt 0 | frac 0 sqrt 0 0 | frac 0 sqrt 0 0
D07,cho ham so y = x^0 + 0x + 0 . viet phuong trinh tiep tuyen cua c di qua trung diem cua doan thang ab voi a + 0;0 va b 0;0 answers: y = + x + 0 | y = + 0x + 0 | y = + 0x + 0 va y = + x + 0 | khong co tiep tuyen nao,answers: y = + x + 0 | y = + 0x + 0 | y = + 0x + 0 va y = + x + 0 | khong co tiep tuyen nao
H06,"hai mieng giay hinh vuong bang nhau duoc hai ban viet va nam cat ra va tao thanh mot hinh chop tu giac deu nhu sau. viet : cat bo mieng giay nhu hinh 0 voi m la trung diem oa roi tao thanh mot hinh chop tu giac deu. nam : cat bo mieng giay nhu hinh 0 voi m nam tren oa thoa om = 0ma roi tao thanh mot hinh chop tu giac deu. goi v_0 la the tich khoi chop cua viet, v_0 la the tich khoi chop cua nam. tinh ti so frac v_0 v_0 answers: frac v_0 v_0 = frac 0 0 | frac v_0 v_0 = frac sqrt 0 0 | frac v_0 v_0 = frac 0 sqrt 0 0 | frac v_0 v_0 = frac 0 sqrt 0 0",answers: frac v_0 v_0 = frac 0 0 | frac v_0 v_0 = frac sqrt 0 0 | frac v_0 v_0 = frac 0 sqrt 0 0 | frac v_0 v_0 = frac 0 sqrt 0 0
